"mz","mode","rt","p_value","log2_fold_change"
204.98081,"Negative",51.65323,2.41504201003402e-23,2.11051698328174
335.13355,"Negative",140.59396,1.44459506057724e-17,-1.74609339882957
843.35535,"Negative",203.09755,1.45898495759419e-16,1.66607029457565
255.87456,"Negative",72.27044,1.46772411430298e-16,-3.83078595603652
484.16091,"Negative",155.62501,2.72030863281141e-16,-1.14689237254609
400.0088,"Negative",70.73046,7.15232594511699e-16,-1.15932529978957
1075.43315,"Negative",337.51781,1.10574103643994e-15,3.95330053194609
288.1309,"Negative",340.46488,1.96418563578634e-15,-0.718337290657392
652.11169,"Negative",37.33182,3.48889036354209e-15,1.45685171817739
1183.06271,"Negative",339.26074,4.16743739030104e-15,3.45702965878957
844.74797,"Negative",337.47845,6.0645188404886e-15,3.35558257065565
210.11285,"Negative",327.98023,1.19956660498106e-14,-0.750181171370435
909.84086,"Negative",337.89492,1.43187310807834e-14,3.54792467789044
301.05696,"Negative",33.09885,1.78756894980978e-14,1.86106429742957
648.19398,"Negative",23.48955,1.81835894567857e-14,0.903862862349565
91.02313,"Negative",36.86272,1.98886992201862e-14,-0.83498545869913
661.26169,"Negative",160.60169,1.03568718102398e-13,-2.34029497896348
389.12403,"Negative",295.12598,2.0946080047898e-13,-0.74297105814087
319.13918,"Negative",160.59681,2.23672180414054e-13,-1.66613105441217
357.24594,"Positive",20.659,5.11375531964739e-25,3.75109891000174
485.33153,"Positive",18.73905,1.42414323841078e-22,3.15835341296348
884.92954,"Positive",231.26267,4.22906294350972e-20,3.18794867749391
370.03884,"Positive",73.98233,1.42946404087282e-18,-1.35288302570957
241.15381,"Positive",25.277,5.1013430621734e-18,0.590543629895652
583.25604,"Positive",381.06653,2.30939496722682e-16,3.67990093869913
705.18365,"Positive",21.72841,4.80706610930405e-16,1.72636939062783
388.66566,"Positive",118.7695,8.44093883550557e-16,1.2680753620887
205.15937,"Positive",332.44674,1.71928570396789e-15,-0.948185112191305
469.21897,"Positive",328.52828,8.27486207907889e-15,-1.47381478787131
719.32991,"Positive",225.32989,1.0210417345762e-14,1.61255320793913
234.18087,"Positive",19.39639,1.25672706090333e-14,1.00260232362435
177.16461,"Positive",328.57633,2.01808043152943e-14,-0.991262117855652
229.15522,"Positive",25.16714,2.79332100935749e-14,1.05090810527826
790.37236,"Positive",334.96101,3.36271515948112e-14,4.16212625971652
359.12695,"Positive",141.07123,3.44880725942872e-14,-1.42223226645913
735.94092,"Positive",329.94761,3.62277882264421e-14,1.01325993763478
911.84521,"Positive",334.91698,4.46746718343071e-14,3.98795978552348
816.34401,"Positive",340.17872,4.70827411510622e-14,0.675666465154783
736.36315,"Positive",339.80616,4.8639719364983e-14,0.857635267570434
846.75657,"Positive",335.65777,5.24920436440711e-14,3.93266940305913
916.55012,"Positive",339.40651,5.3338571991065e-14,1.06328661926087
741.06143,"Positive",335.89154,6.78430778331434e-14,3.88688335413217
835.35302,"Positive",339.55225,9.64212450799922e-14,1.43197349779826
1077.44925,"Positive",336.23627,1.02012016875421e-13,3.54804995102087
903.64784,"Positive",340.35681,1.10812258194604e-13,1.07904241474261
769.26046,"Positive",339.32294,1.89218136137253e-13,1.8011193563513
675.96578,"Positive",339.81846,3.90763896729795e-13,0.695855250584348
272.99411,"Positive",72.87083,4.04515187233853e-13,-2.15350619738956
913.53796,"Positive",337.56664,5.28653602588255e-13,1.76446945886087
697.5324,"Positive",335.97136,6.82165044606558e-13,3.13405226759478
